time,seconds_elapsed,z,y,x
1663562598302710300,0.0017102050781261369,-0.607540488243103,9.771893501281738,0.5577373504638672
1663562598312709000,0.011709228515623948,-0.6076623797416687,9.771904945373535,0.5575859546661377
1663562598322708000,0.021708007812502927,-0.6079400181770325,9.771875381469728,0.5575010776519775
1663562598332706800,0.0317067871093748,-0.6085672974586487,9.771845817565918,0.557507336139679
1663562598342705700,0.04170556640625023,-0.608690083026886,9.771809577941896,0.5577778220176697
1663562598352704500,0.05170458984375159,-0.608402669429779,9.771841049194336,0.5576474666595459
1663562598362703400,0.06170336914062702,-0.607876718044281,9.771864891052246,0.5579502582550049
1663562598372702200,0.07170214843750244,-0.607222318649292,9.771888732910156,0.558301568031311
1663562598382701300,0.0817014160156262,-0.6064569354057312,9.771921157836914,0.5583786964416504
1663562598392699400,0.0916994628906238,-0.6431196331977844,9.769488334655762,0.5598815083503723
1663562598402697200,0.10169726562500259,-0.6202486753463745,9.771000862121582,0.5592122673988342
1663562598412696000,0.11169604492188157,-0.6091270446777344,9.771721839904783,0.5589749217033386
1663562598422695000,0.12169482421874989,-0.622314989566803,9.77087116241455,0.5594812631607056
1663562598432693800,0.13169384765625125,-0.64753258228302,9.769187927246094,0.5601134300231934
1663562598442692600,0.14169262695312668,-0.66631680727005,9.767898559570312,0.5604104995727539
1663562598452691500,0.1516914062500021,-0.6678716540336609,9.767807960510254,0.5604007244110107
1663562598462690300,0.16169018554688108,-0.655217170715332,9.768632888793944,0.5609229803085327
1663562598472689000,0.17168896484375296,-0.641385555267334,9.76952838897705,0.5611613392829895
1663562598482687700,0.18168774414062483,-0.6364634037017822,9.769850730895996,0.5610575675964355
1663562598492685800,0.191685791015626,-0.6419045329093933,9.769503593444824,0.561168372631073
1663562598502684700,0.20168457031250142,-0.6512757539749146,9.768906593322754,0.5604590177536011
1663562598512683300,0.21168334960937685,-0.6560009121894836,9.768649101257324,0.5596208572387695
1663562598522682000,0.22168212890625227,-0.6527963876724243,9.76884937286377,0.5598255395889282
1663562598532680700,0.23168066406250176,-0.646291196346283,9.769257545471191,0.5604159235954285
1663562598542679600,0.2416794433593772,-0.6404314041137695,9.769587516784668,0.5614897012710571
1663562598552678100,0.2516782226562526,-0.6384888887405396,9.769619941711426,0.5630199909210205
1663562598562677000,0.2616770019531245,-0.6405503153800964,9.769454956054688,0.563498854637146
1663562598572675600,0.27167553710937753,-0.644528329372406,9.769264221191406,0.5622831583023071
1663562598582674400,0.28167431640625296,-0.6467723250389099,9.769166946411133,0.5613539218902588
1663562598592673300,0.29167333984375077,-0.6459145545959473,9.769247055053713,0.5609970688819885
1663562598602671900,0.30167187500000026,-0.6438520550727844,9.769353866577148,0.5614369511604309
1663562598612670700,0.3116706542968757,-0.6422942876815796,9.769389152526855,0.5625906586647034
1663562598622668800,0.3216687011718804,-0.6421642899513245,9.769364356994627,0.5631425976753235
1663562598632667600,0.33166772460937466,-0.6431668996810913,9.769309997558594,0.5629669427871704
1663562598642666200,0.34166625976562415,-0.6446715593338013,9.769257545471191,0.5622766017913818
1663562598652665000,0.3516650390624996,-0.6450457572937012,9.76926326751709,0.561808705329895
1663562598662663700,0.3616635742187526,-0.644323468208313,9.769293785095217,0.5618777871131897
1663562598672662500,0.3716625976562504,-0.6433961391448975,9.769341468811035,0.562225878238678
1663562598682661000,0.3816611328124999,-0.6424870491027832,9.769370079040527,0.5626268982887268
1663562598692660700,0.3916606445312496,-0.6422547101974487,9.769387245178224,0.5626968741416931
1663562598702660400,0.4016604003906252,-0.6371740102767944,9.769816398620604,0.5610748529434204
1663562598712659200,0.41165917968750065,-0.634321391582489,9.770049095153809,0.5602846741676331
1663562598722658000,0.4216579589843725,-0.6327325105667114,9.770137786865234,0.5603514909744263
1663562598732656600,0.4316567382812515,-0.6309165954589844,9.770231246948242,0.5608083009719849
1663562598742655500,0.4416555175781305,-0.6281028389930725,9.770392417907717,0.5613924860954285
1663562598752654000,0.45165405273437287,-0.6241077184677124,9.770614624023438,0.5616645812988281
1663562598762653000,0.46165283203125185,-0.6200963258743286,9.770878791809082,0.5616505742073059
1663562598772651800,0.47165185546874966,-0.6178157329559326,9.771068572998049,0.560937762260437
1663562598782650400,0.4816503906250027,-0.6167161464691162,9.771185874938965,0.5602233409881592
1663562598792649200,0.4916491699218781,-0.6160536408424377,9.771195411682127,0.5604175329208374
1663562598802647800,0.5016477050781276,-0.6145570278167725,9.771310806274414,0.560087263584137
1663562598812646400,0.5116464843749995,-0.6124330163002014,9.77147102355957,0.5599656701087952
1663562598822645200,0.5216452636718785,-0.6106817126274109,9.771566390991213,0.5599926114082336
1663562598832644000,0.5316440429687503,-0.6102813482284546,9.771566390991213,0.5602372288703918
1663562598842642700,0.5416425781249998,-0.6102294921875,9.771573066711426,0.5604036450386047
1663562598852641500,0.5516416015625012,-0.6090258359909058,9.771617889404297,0.5608246326446533
1663562598862640000,0.5616401367187507,-0.6072282195091248,9.771703720092772,0.5614575147628784
1663562598872639000,0.5716389160156261,-0.6056717038154602,9.771773338317873,0.5617176294326782
1663562598882637800,0.581637939453131,-0.60494065284729,9.77182674407959,0.5617125630378723
1663562598892636400,0.591636474609377,-0.6054888963699341,9.771790504455566,0.5616744160652161
1663562598902635000,0.6016350097656264,-0.6060429215431213,9.771770477294922,0.5615531206130981
1663562598912633900,0.6116337890625019,-0.605500340461731,9.7717924118042,0.5615339875221252
1663562598922633200,0.6216333007812516,-0.6040731072425842,9.771899223327637,0.5614005327224731
1663562598932631800,0.631631835937501,-0.6028966903686523,9.771967887878418,0.5614547729492188
1663562598942630700,0.6416306152343729,-0.6028775572776794,9.771986961364746,0.5612429976463318
1663562598952629500,0.6516293945312519,-0.6036037802696228,9.77193832397461,0.5612576603889465
