time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1663562598302710300,0.0017102050781261369,0.1551350057125091,0.1243520006537437,0.7179920077323914,0.6670500040054321,-2.3989078998565674,-1.486579418182373,-2.797145128250122
1663562598312709000,0.011709228515623948,0.1542470008134842,0.1234090030193328,0.718159019947052,0.6672520041465759,-2.399142980575561,-1.4865928888320925,-2.7947323322296143
1663562598322708000,0.021708007812502927,0.1541610062122345,0.1233270019292831,0.7181829810142517,0.6672599911689758,-2.399446487426758,-1.4865566492080688,-2.7948007583618164
1663562598332706800,0.0317067871093748,0.1538780033588409,0.1230309978127479,0.7182559967041016,0.6673020124435425,-2.399954319000244,-1.486520528793335,-2.794469356536865
1663562598342705700,0.04170556640625023,0.1535760015249252,0.1226880028843879,0.7183189988136292,0.6673660278320312,-2.399813413619995,-1.4864773750305176,-2.793402194976806
1663562598352704500,0.05170458984375159,0.1538469940423965,0.1229849979281425,0.7182580232620239,0.6673150062561035,-2.3996944427490234,-1.486514925956726,-2.794100761413574
1663562598362703400,0.06170336914062702,0.1541099995374679,0.1232379972934722,0.7181959748268127,0.6672750115394592,-2.3989932537078857,-1.4865440130233765,-2.7941408157348637
1663562598372702200,0.07170214843750244,0.1551119983196258,0.124280996620655,0.7179930210113525,0.6670680046081543,-2.3981430530548096,-1.4865729808807373,-2.7962422370910645
1663562598382701300,0.0817014160156262,0.1562110036611557,0.125447005033493,0.7177630066871643,0.6668400168418884,-2.397445678710937,-1.4866119623184204,-2.7988195419311523
1663562598392699400,0.0916994628906238,0.1566099971532821,0.1263149976730346,0.7189120054244995,0.6653429865837097,-2.425276517868042,-1.4837114810943604,-2.8285067081451416
1663562598402697200,0.10169726562500259,0.1567690074443817,0.1261930018663406,0.7181220054626465,0.6661810278892517,-2.407897710800171,-1.4855035543441772,-2.8111677169799805
1663562598412696000,0.11169604492188157,0.1568499952554702,0.126130998134613,0.7177379727363586,0.6665880084037781,-2.3991029262542725,-1.4863712787628174,-2.802389621734619
1663562598422695000,0.12169482421874989,0.156808003783226,0.1262460052967071,0.7181860208511353,0.6660940051078796,-2.40931248664856,-1.485348343849182,-2.8127098083496094
1663562598432693800,0.13169384765625125,0.1566829979419708,0.1264429986476898,0.7190459966659546,0.6651570200920105,-2.428456544876098,-1.4833606481552124,-2.8319787979125977
1663562598442692600,0.14169262695312668,0.1565559953451156,0.1265659928321838,0.7196900248527527,0.6644660234451294,-2.442313432693481,-1.4818676710128784,-2.84584641456604
1663562598452691500,0.1516914062500021,0.1565449982881546,0.126578003168106,0.719743013381958,0.6644099950790405,-2.443469762802124,-1.48176372051239,-2.8470001220703125
1663562598462690300,0.16169018554688108,0.1566859930753708,0.1265020072460174,0.7193080186843872,0.6648619771003723,-2.433575391769409,-1.4827146530151367,-2.837191343307495
1663562598472689000,0.17168896484375296,0.156823992729187,0.1264259964227676,0.7188310027122498,0.6653590202331543,-2.4228076934814453,-1.483758807182312,-2.826507091522217
1663562598482687700,0.18168774414062483,0.1569139957427978,0.126457005739212,0.7186509966850281,0.6655259728431702,-2.4190797805786133,-1.4841381311416626,-2.822953224182129
1663562598492685800,0.191685791015626,0.1569460034370422,0.1265649944543838,0.7188249826431274,0.6653109788894653,-2.4232022762298584,-1.483729362487793,-2.82727599143982
1663562598502684700,0.20168457031250142,0.1568679958581924,0.1266739964485168,0.7191380262374878,0.6649690270423889,-2.431002378463745,-1.4830323457717896,-2.8351333141326904
1663562598512683300,0.21168334960937685,0.1568109989166259,0.1267450004816055,0.7192929983139038,0.6648020148277283,-2.43531346321106,-1.482732892036438,-2.839463710784912
1663562598522682000,0.22168212890625227,0.1568139940500259,0.1266849935054779,0.7191900014877319,0.6649240255355835,-2.4327139854431152,-1.4829663038253784,-2.836780548095703
1663562598532680700,0.23168066406250176,0.1568309962749481,0.1265619993209839,0.7189810276031494,0.6651700139045715,-2.4272396564483643,-1.4834412336349487,-2.8311452865600586
1663562598542679600,0.2416794433593772,0.1568820029497146,0.1264500021934509,0.7187929749488831,0.665382981300354,-2.4217798709869385,-1.4838287830352783,-2.825591802597046
1663562598552678100,0.2516782226562526,0.1569029986858368,0.1263310015201568,0.7187449932098389,0.6654520034790039,-2.418923854827881,-1.483866572380066,-2.822595834732056
1663562598562677000,0.2616770019531245,0.1568810045719146,0.1263030022382736,0.7188230156898499,0.6653779745101929,-2.4201009273529053,-1.4836724996566772,-2.8237037658691406
1663562598572675600,0.27167553710937753,0.1568540036678314,0.1264230012893676,0.7189429998397827,0.6652320027351379,-2.4242401123046875,-1.4834494590759275,-2.8279788494110107
1663562598582674400,0.28167431640625296,0.1568150073289871,0.1264829933643341,0.7190120220184326,0.6651549935340881,-2.4267802238464355,-1.4833353757858276,-2.830551624298096
1663562598592673300,0.29167333984375077,0.1568109989166259,0.1264919936656952,0.7189800143241882,0.6651890277862549,-2.426438093185425,-1.483428955078125,-2.830214500427246
1663562598602671900,0.30167187500000026,0.1568270027637481,0.1264459937810897,0.7189149856567383,0.6652640104293823,-2.424466133117676,-1.4835540056228638,-2.828199863433838
1663562598612670700,0.3116706542968757,0.1568679958581924,0.1263819932937622,0.718870997428894,0.6653140187263489,-2.422248601913452,-1.483595848083496,-2.82594895362854
1663562598622668800,0.3216687011718804,0.1568250060081482,0.1262930035591125,0.7188820242881775,0.6653289794921875,-2.4216623306274414,-1.483566403388977,-2.8251729011535645
1663562598632667600,0.33166772460937466,0.1567389965057373,0.1262280046939849,0.7189289927482605,0.6653109788894653,-2.4225902557373047,-1.4835034608840942,-2.825882196426392
1663562598642666200,0.34166625976562415,0.1566359996795654,0.1261900067329406,0.7189890146255493,0.6652780175209045,-2.424355983734131,-1.4834412336349487,-2.827442407608032
1663562598652665000,0.3516650390624996,0.1564999967813491,0.1260830014944076,0.7190210223197937,0.6652960181236267,-2.425055742263794,-1.4834487438201904,-2.827789068222046
1663562598662663700,0.3616635742187526,0.1564220041036605,0.1259829998016357,0.719012975692749,0.6653410196304321,-2.4244399070739746,-1.4834836721420288,-2.8269214630126958
1663562598672662500,0.3716625976562504,0.1563799977302551,0.125898003578186,0.7189949750900269,0.665386974811554,-2.42341947555542,-1.483540415763855,-2.825714111328125
1663562598682661000,0.3816611328124999,0.1563549935817718,0.1258279979228973,0.7189750075340271,0.665427029132843,-2.422365427017212,-1.4835731983184814,-2.824526309967041
1663562598692660700,0.3916606445312496,0.1563140004873275,0.1257749944925308,0.7189760208129883,0.6654459834098816,-2.42212462425232,-1.4835931062698364,-2.8241467475891118
1663562598702660400,0.4016604003906252,0.155582994222641,0.1250289976596832,0.7189260125160217,0.6658120155334473,-2.419617891311645,-1.484096884727478,-2.8195013999938965
1663562598712659200,0.41165917968750065,0.1552850008010864,0.1247230023145675,0.7188779711723328,0.6659910082817078,-2.418091058731079,-1.4843719005584717,-2.817098379135132
1663562598722658000,0.4216579589843725,0.1548600047826767,0.1242360025644302,0.7189059853553772,0.6661499738693237,-2.416787385940552,-1.484476923942566,-2.814481258392334
1663562598732656600,0.4316567382812515,0.1546130031347274,0.1239089965820312,0.7188979983329773,0.6662769913673401,-2.4149560928344727,-1.4845869541168213,-2.811818838119507
1663562598742655500,0.4416555175781305,0.154239997267723,0.1234219968318939,0.7188820242881775,0.6664720177650452,-2.4122185707092285,-1.4847782850265503,-2.807833433151245
1663562598752654000,0.45165405273437287,0.1536969989538192,0.122758001089096,0.7188540101051331,0.6667490005493164,-2.408806085586548,-1.485042929649353,-2.802682399749756
1663562598762653000,0.46165283203125185,0.1534879952669143,0.1224749982357025,0.7187600135803223,0.6669510006904602,-2.405611276626587,-1.485357403755188,-2.798772096633911
1663562598772651800,0.47165185546874966,0.1536290049552917,0.1226459965109825,0.7186499834060669,0.6670060157775879,-2.404409646987915,-1.485584735870361,-2.7980175018310547
1663562598782650400,0.4816503906250027,0.1538829952478408,0.1229560002684593,0.7185580134391785,0.6669899821281433,-2.4041574001312256,-1.4857256412506104,-2.7985754013061523
1663562598792649200,0.4916491699218781,0.1543840020895004,0.1234719976782798,0.7184460163116455,0.6668980121612549,-2.4034500122070312,-1.485736846923828,-2.799344301223755
1663562598802647800,0.5016477050781276,0.1547050029039383,0.123819999396801,0.7183330059051514,0.6668810248374939,-2.4025325775146484,-1.4858758449554443,-2.7993905544281006
1663562598812646400,0.5116464843749995,0.1544920057058334,0.1235679984092712,0.718300998210907,0.6670129895210266,-2.400916814804077,-1.4860678911209106,-2.7970941066741943
1663562598822645200,0.5216452636718785,0.1546300053596496,0.1236890032887458,0.7182180285453796,0.6670470237731934,-2.3994665145874023,-1.486183524131775,-2.7960216999053955
1663562598832644000,0.5316440429687503,0.1541700065135955,0.1231700032949447,0.7182930111885071,0.6671680212020874,-2.398922204971313,-1.486183524131775,-2.7940680980682373
1663562598842642700,0.5416425781249998,0.1534930020570755,0.1224279999732971,0.7184180021286011,0.6673269867897034,-2.3987319469451904,-1.4861912727355957,-2.7918248176574707
1663562598852641500,0.5516416015625012,0.1536429971456527,0.1225410029292106,0.7183560132980347,0.6673380136489868,-2.397374153137207,-1.4862449169158936,-2.7908482551574707
1663562598862640000,0.5616401367187507,0.1540219932794571,0.1228760033845901,0.7182350158691406,0.6673200130462646,-2.395338773727417,-1.4863487482070925,-2.789839029312134
1663562598872639000,0.5716389160156261,0.1545310020446777,0.1233820021152496,0.7180929780006409,0.667261004447937,-2.3938283920288086,-1.486433506011963,-2.789797306060791
1663562598882637800,0.581637939453131,0.1551019996404647,0.1239859983325004,0.7179629802703857,0.667156994342804,-2.393230676651001,-1.4864978790283203,-2.790892601013184
1663562598892636400,0.591636474609377,0.1552339941263198,0.1241390034556388,0.717956006526947,0.6671050190925598,-2.393716096878052,-1.4864540100097656,-2.791791677474976
1663562598902635000,0.6016350097656264,0.1547749936580658,0.1236620023846626,0.7180579900741577,0.6671910285949707,-2.394279718399048,-1.486430048942566,-2.791001081466675
1663562598912633900,0.6116337890625019,0.1543470025062561,0.1231949999928474,0.7181190252304077,0.6673099994659424,-2.393850326538086,-1.4864568710327148,-2.789284467697144
1663562598922633200,0.6216333007812516,0.1538109928369522,0.1226070001721382,0.7181689739227295,0.6674889922142029,-2.392791986465454,-1.4865857362747192,-2.7865984439849854
1663562598932631800,0.631631835937501,0.1531929969787597,0.1219210028648376,0.7182440161705017,0.6676759719848633,-2.3917717933654785,-1.486669421195984,-2.783695697784424
1663562598942630700,0.6416306152343729,0.1525160074234008,0.1212079972028732,0.7183640003204346,0.6678320169448853,-2.391944169998169,-1.4866920709609983,-2.781860589981079
1663562598952629500,0.6516293945312519,0.1518760025501251,0.1205290034413337,0.718504011631012,0.6679499745368958,-2.392531394958496,-1.48663330078125,-2.7805464267730717
1663562598962628000,0.6616281738281309,0.1516889929771423,0.1203650012612342,0.7185609936714172,0.667959988117218,-2.393520832061768,-1.4865814447402954,-2.781033754348755
1663562598972627000,0.6716269531250028,0.1514550000429153,0.1201429963111877,0.7185980081558228,0.6680139899253845,-2.3938796520233154,-1.4866232872009275,-2.7807302474975586
1663562598982625800,0.6816257324218782,0.1516820043325424,0.1203859969973564,0.7185459733009338,0.6679739952087402,-2.3936548233032227,-1.4866389036178589,-2.781187057495117
1663562598992624400,0.6916242675781277,0.1524499952793121,0.1211979985237121,0.7183899879455566,0.6678209900856018,-2.3931288719177246,-1.4866893291473389,-2.7829349040985107
1663562599002623200,0.7016232910156255,0.1528999954462051,0.12168899923563,0.718317985534668,0.6677060127258301,-2.3934130668640137,-1.4866636991500854,-2.784579038619995
1663562599012621800,0.7116218261718785,0.1528619974851608,0.1216500028967857,0.7183459997177124,0.6676920056343079,-2.393828153610229,-1.4866176843643188,-2.784881591796875
1663562599022620700,0.7216206054687504,0.1529320031404495,0.1217349991202354,0.7183610200881958,0.6676430106163025,-2.3944802284240723,-1.4865312576293943,-2.7857649326324463
1663562599032619300,0.7316193847656258,0.1527210026979446,0.1214919984340667,0.7183849811553955,0.6677110195159912,-2.393976211547852,-1.4865801334381104,-2.784598588943481
1663562599042618000,0.7416181640625013,0.1525579988956451,0.1213250011205673,0.7183930277824402,0.6677690148353577,-2.393706083297729,-1.4866211414337158,-2.7838573455810547
1663562599052617000,0.7516169433593731,0.1522140055894851,0.1209710016846656,0.7184309959411621,0.6678709983825684,-2.3935019969940186,-1.4866935014724731,-2.7826449871063232
1663562599062615600,0.7616154785156262,0.1511410027742386,0.1198239997029304,0.7186340093612671,0.6681029796600342,-2.3937883377075195,-1.486672282218933,-2.779728889465332
1663562599072614400,0.7716145019531275,0.1504590064287185,0.1190920025110244,0.7187579870223999,0.6682549715042114,-2.393850803375244,-1.486677885055542,-2.777749300003052
1663562599082613200,0.781613281250003,0.1501049995422363,0.118707001209259,0.7188159823417664,0.6683409810066223,-2.3936946392059326,-1.4866927862167358,-2.7765262126922607
1663562599092612600,0.7916125488281267,0.1501989960670471,0.1187950000166893,0.7187950015068054,0.6683260202407837,-2.393415689468384,-1.4866836071014404,-2.7765140533447266
1663562599102611500,0.8016115722656245,0.1506190001964569,0.1192430034279823,0.7187190055847168,0.6682339906692505,-2.393339157104492,-1.4866935014724731,-2.777685642242432
1663562599112610000,0.8116101074218811,0.150760993361473,0.1193939968943595,0.7186869978904724,0.6682090163230896,-2.3931896686553955,-1.4867020845413208,-2.777960777282715
1663562599122609000,0.821608886718753,0.1510999947786331,0.1197689995169639,0.7186239957809448,0.668133020401001,-2.393303155899048,-1.4867126941680908,-2.779104709625244
1663562599132607700,0.8316076660156249,0.1516969949007034,0.1204330027103424,0.718504011631012,0.668008029460907,-2.3934037685394287,-1.486766695976257,-2.781020402908325
1663562599142606300,0.8416064453125003,0.1522450000047683,0.1210659965872764,0.718396008014679,0.6678850054740906,-2.393902540206909,-1.4868099689483645,-2.7832226753234863
1663562599152605200,0.8516052246093722,0.1531360000371933,0.1220590025186538,0.7182310223579407,0.6676769852638245,-2.3943755626678467,-1.486818552017212,-2.7864198684692383
1663562599162603800,0.8616037597656252,0.1535969972610473,0.1225799992680549,0.7181529998779297,0.6675599813461304,-2.3948771953582764,-1.4868220090866089,-2.7883362770080566
1663562599172602600,0.8716025390625006,0.1546310037374496,0.1236900016665458,0.7179520130157471,0.6673330068588257,-2.3946540355682373,-1.486851930618286,-2.791206121444702
1663562599182601500,0.881601562500002,0.1560499966144561,0.1252110004425048,0.7176780104637146,0.6670140027999878,-2.3943984508514404,-1.4868782758712769,-2.795193910598755
1663562599192600000,0.8916000976562515,0.1567859947681427,0.126010000705719,0.7175340056419373,0.666845977306366,-2.394408941268921,-1.4868974685668943,-2.7974209785461426
1663562599202599000,0.9015988769531305,0.1569630056619644,0.1262100040912628,0.717507004737854,0.666795015335083,-2.394671678543091,-1.486876130104065,-2.798231840133667
1663562599212597800,0.9115976562500023,0.1566410064697265,0.1258639991283416,0.7175740003585815,0.6668639779090881,-2.394789934158325,-1.486859679222107,-2.7973856925964355
1663562599222596900,0.9215969238281261,0.155699998140335,0.1248459964990615,0.7177469730377197,0.6670889854431152,-2.39463472366333,-1.486858367919922,-2.794403553009033
1663562599232595700,0.9315957031250015,0.1549520045518875,0.1240400001406669,0.7178810238838196,0.6672700047492981,-2.394517421722412,-1.4868838787078855,-2.7920379638671875
1663562599242594800,0.9415947265625029,0.1549350023269653,0.1240539997816085,0.7178590297698975,0.667294979095459,-2.3945536613464355,-1.4869636297225952,-2.792068719863892
1663562599252593700,0.9515937500000007,0.1551990061998367,0.1243719980120658,0.7177780270576477,0.667261004447937,-2.394492149353028,-1.4870505332946775,-2.7928500175476074
1663562599262592800,0.961592773437502,0.155467003583908,0.1246830001473426,0.717710018157959,0.6672149896621704,-2.394515037536621,-1.4871288537979126,-2.793701410293579
1663562599272592000,0.9715917968749999,0.1556189954280853,0.1248459964990615,0.7176859974861145,0.6671739816665649,-2.394585132598877,-1.4871017932891846,-2.794232130050659
1663562599282591000,0.9815910644531307,0.1553159952163696,0.1244869977235794,0.7177550196647644,0.6672379970550537,-2.3943049907684326,-1.487064003944397,-2.7929933071136475
1663562599292590000,0.991590087890625,0.1545860022306442,0.1236660033464431,0.7178879976272583,0.667415976524353,-2.3937039375305176,-1.4870326519012451,-2.790159225463867
1663562599302589000,1.0015888671875004,0.153672993183136,0.1226809993386268,0.7180590033531189,0.6676250100135803,-2.3937056064605717,-1.4870319366455078,-2.7874186038970947
1663562599312588000,1.0115881347656241,0.1533769965171814,0.122357003390789,0.7181079983711243,0.6676999926567078,-2.3935225009918213,-1.4870455265045166,-2.786339521408081
1663562599322587100,1.0215871582031255,0.1530369967222213,0.1220069974660873,0.7181749939918518,0.6677700281143188,-2.393849372863769,-1.4870412349700928,-2.785670757293701
1663562599332586200,1.0315861816406269,0.1528349965810775,0.1218300014734268,0.718205988407135,0.6678150296211243,-2.3943562507629395,-1.487073302268982,-2.7856316566467285
1663562599342585300,1.0415854492187506,0.1528989970684051,0.1219049990177154,0.7181940078735352,0.667801022529602,-2.3944480419158936,-1.4871017932891846,-2.7859156131744385
1663562599352584400,1.051584472656252,0.1523260027170181,0.1213579997420311,0.7182869911193848,0.667930006980896,-2.395294427871704,-1.4871402978897097,-2.785154342651367
1663562599362583600,1.0615834960937498,0.1527950018644333,0.1218620017170906,0.7181919813156128,0.6678339838981628,-2.395113706588745,-1.487175226211548,-2.7863736152648926
1663562599372582700,1.0715827636718807,0.1531540006399154,0.122250996530056,0.7181320190429688,0.6677449941635132,-2.395261764526367,-1.487160325050354,-2.787601947784424
1663562599382581000,1.0815810546875007,0.1536909937858581,0.1228360012173652,0.7180359959602356,0.6676170229911804,-2.3954224586486816,-1.4871503114700315,-2.789384603500366
1663562599392579600,1.0915795898437501,0.1547469943761825,0.1239740028977394,0.7178410291671753,0.66737300157547,-2.395462274551392,-1.4871617555618286,-2.792587995529175
1663562599402577700,1.1015776367187513,0.1550509929656982,0.1242929995059967,0.7177820205688477,0.6673060059547424,-2.3952932357788086,-1.4871538877487185,-2.7933218479156494
1663562599412576800,1.1115766601562527,0.1555510014295578,0.1247999966144561,0.7176830172538757,0.6672019958496094,-2.394716262817383,-1.4871610403060913,-2.794196367263794
1663562599422575900,1.1215759277343729,0.1558499932289123,0.1251299977302551,0.7176330089569092,0.667123019695282,-2.3949520587921143,-1.4871302843093872,-2.795347213745117
1663562599432574200,1.13157421875,0.1560229957103729,0.1253249943256378,0.7176039814949036,0.6670780181884766,-2.395153522491455,-1.4871395826339722,-2.796075820922852
1663562599442572500,1.1415725097656235,0.1562680006027221,0.1255889981985092,0.7175559997558594,0.6670230031013489,-2.3951265811920166,-1.4871517419815063,-2.7967817783355717
1663562599452571600,1.1515715332031249,0.1567630022764206,0.1260800063610077,0.7174590229988098,0.6669189929962158,-2.394423246383667,-1.4871474504470823,-2.7975003719329834
1663562599462570800,1.1615708007812522,0.1573899984359741,0.126690998673439,0.7173510193824768,0.6667720079421997,-2.3936426639556885,-1.487093210220337,-2.7985072135925293
1663562599472569900,1.17156982421875,0.1573040038347244,0.1265559941530227,0.7173749804496765,0.6667910218238831,-2.393125534057617,-1.4870333671569824,-2.797677516937256
1663562599482569000,1.1815688476562514,0.1576260030269622,0.1268559992313385,0.7173200249671936,0.666716992855072,-2.392524719238281,-1.4869928359985352,-2.79797625541687
1663562599492568000,1.1915681152343716,0.1572089940309524,0.1263989955186844,0.7173960208892822,0.6668199896812439,-2.3923375606536865,-1.486987829208374,-2.7965288162231445
1663562599502567200,1.2015671386718765,0.1562490016222,0.1253709942102432,0.7175750136375427,0.6670479774475098,-2.392372131347656,-1.4870113134384155,-2.7936861515045166
1663562599512566000,1.211565917968752,0.1556510031223297,0.1247360035777092,0.7176899909973145,0.667182981967926,-2.3925509452819824,-1.4870063066482544,-2.7920854091644287
1663562599522564900,1.2215649414062497,0.1546040028333664,0.1236160025000572,0.7178829908370972,0.6674270033836365,-2.392612934112549,-1.4870105981826782,-2.7890186309814453
1663562599532563700,1.2315637207031251,0.1535139977931976,0.1224469989538192,0.7180860042572021,0.6676750183105469,-2.3927018642425537,-1.486996293067932,-2.7858502864837646
1663562599542562600,1.2415625000000006,0.1527079939842224,0.1215239986777305,0.7182629704475403,0.667838990688324,-2.392393112182617,-1.4869080781936646,-2.7830426692962646
1663562599552561400,1.251561523437502,0.1522450000047683,0.1209969967603683,0.7183679938316345,0.6679279804229736,-2.392338275909424,-1.4868497848510742,-2.7815566062927246
1663562599562560300,1.2615603027343774,0.1515669971704483,0.1202389970421791,0.7185180187225342,0.6680579781532288,-2.392409086227417,-1.4867708683013916,-2.779555082321167
1663562599572559000,1.2715590820312528,0.1514839977025985,0.1201599985361099,0.7185549736022949,0.6680499911308289,-2.392967700958252,-1.4866992235183716,-2.7798876762390137
1663562599582557700,1.2815576171875023,0.1519269943237304,0.1206400021910667,0.7184770107269287,0.667946994304657,-2.393056869506836,-1.4867006540298462,-2.781306266784668
1663562599592556500,1.291556640625,0.1523399949073791,0.1210810020565986,0.7184010148048401,0.6678550243377686,-2.392983675003052,-1.4867055416107178,-2.7824647426605225
1663562599602555400,1.3015554199218755,0.1528030037879943,0.1216159984469413,0.7183099985122681,0.6677500009536743,-2.393419981002808,-1.4867432117462158,-2.784340143203736
1663562599612554000,1.311553955078125,0.1534159928560257,0.1222710013389587,0.7182030081748962,0.6676040291786194,-2.393441200256348,-1.486713409423828,-2.78619647026062
1663562599622552000,1.3215520019531262,0.1539520025253296,0.1228659972548484,0.7181190252304077,0.6674619913101196,-2.393984794616699,-1.4866913557052612,-2.788371324539185
1663562599632551000,1.331551025390624,0.1544149965047836,0.1233469992876052,0.7180489897727966,0.6673420071601868,-2.394005060195923,-1.486649513244629,-2.789752244949341
1663562599642549500,1.3415495605468806,0.1548220068216323,0.1237829998135566,0.7179690003395081,0.6672530174255371,-2.3938913345336914,-1.4866595268249512,-2.790855646133423
1663562599652548400,1.3515483398437524,0.1544329971075058,0.1233720034360885,0.7180349826812744,0.6673480272293091,-2.393895149230957,-1.4866751432418823,-2.789705991744995
1663562599662547000,1.361546875000002,0.1536789983510971,0.1225659996271133,0.7181800007820129,0.667514979839325,-2.39408802986145,-1.486669421195984,-2.787644386291504
1663562599672545800,1.3715458984374997,0.1530629992485046,0.121907003223896,0.7182959914207458,0.6676520109176636,-2.39420223236084,-1.4866573810577393,-2.7859208583831787
1663562599682545200,1.3815451660156235,0.1529510021209716,0.1218329966068267,0.718317985534668,0.6676679849624634,-2.394938945770264,-1.4866857528686523,-2.786386251449585
1663562599692544500,1.3915444335937508,0.1528249979019165,0.1217060014605522,0.71834397315979,0.6676920056343079,-2.395124912261963,-1.4866821765899658,-2.7862069606781006
